hgncid,uniprot_id,protein_names,targetclass,go_function
MCHR1,Q99705,Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein),7TM_Group1,peptide receptor activity; transmembrane signaling receptor activity; G protein-coupled receptor activity; neuropeptide receptor activity; G protein-coupled peptide receptor activity
DOK1,Q99704,Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62),Other,NA
ITGB6,P18564,Integrin beta-6,Receptor_all_others,NA
FMO1,Q01740,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1),Enzyme_all_others,"monooxygenase activity; N,N-dimethylaniline monooxygenase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
HNRNPA0,Q13151,Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0),Other,AU-rich element binding; kinase binding; protein kinase binding
SPINT4,Q6UDR6,Kunitz-type protease inhibitor 4,Extracellular_all_others,NA
SAT1,P21673,Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1),Enzyme_Transferase,"diamine N-acetyltransferase activity; N-acetyltransferase activity; acetyltransferase activity; N-acyltransferase activity; transferase activity, transferring acyl groups; transferase activity, transferring acyl groups other than amino-acyl groups"
CCDC153,Q494R4,Coiled-coil domain-containing protein 153,Other,NA
FKBPL,Q9UIM3,FK506-binding protein-like (WAF-1/CIP1 stabilizing protein 39) (WISp39),Other,"""NA"""
HIBADH,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",Enzyme_all_others,"3-hydroxyisobutyrate dehydrogenase activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
PSMG3,Q9BT73,Proteasome assembly chaperone 3 (PAC-3) (hPAC3),Other,"""NA"""
ZBTB7B,O15156,Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK),Transcriptional_Factor_all_others,"""NA"""
NPW,Q8N729,Neuropeptide W (Preproprotein L8) (hPPL8) [Cleaved into: Neuropeptide W-23 (NPW23) (hL8); Neuropeptide W-30 (NPW30) (hL8C)],Extracellular Ligand,NA
FGF11,Q92914,Fibroblast growth factor 11 (FGF-11) (Fibroblast growth factor homologous factor 3) (FHF-3),Extracellular Ligand,NA
CLDN10,P78369,Claudin-10 (Oligodendrocyte-specific protein-like) (OSP-like),Other,"""NA"""
ZNF280D,Q6N043,Zinc finger protein 280D (Suppressor of hairy wing homolog 4) (Zinc finger protein 634),Transcriptional_Factor_all_others,"""NA"""
CYP27C1,Q4G0S4,"Cytochrome P450 27C1 (EC 1.14.19.-) (All-trans retinol 3,4-desaturase)",Enzyme_all_others,"retinoic acid binding; retinoid binding; 11-cis retinal binding; all-trans retinal binding; lipid binding; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; retinal binding; isoprenoid binding; retinol binding; vitamin binding; carboxylic acid binding; monocarboxylic acid binding; organic acid binding; alcohol binding; all-trans retinol 3,4-desaturase activity; all-trans retinal 3,4-desaturase activity; all-trans retinoic acid 3,4-desaturase activity; 11-cis-retinal 3,4-desaturase activity; all-trans-retinol binding"
POU2F2,P09086,"POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)",Transcriptional_Factor_all_others,"""NA"""
ACVR2B,Q13705,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Kinase_Protein,"protein kinase activity; protein serine/threonine kinase activity; transmembrane receptor protein serine/threonine kinase activity; transmembrane signaling receptor activity; activin receptor activity, type II; activin-activated receptor activity; transmembrane receptor protein kinase activity; growth factor binding"
ZNF521,Q96K83,Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3),Transcriptional_Factor_all_others,protein domain specific binding
SCAND1,P57086,SCAN domain-containing protein 1,Transcriptional_Factor_all_others,"""NA"""
LYSMD2,Q8IV50,LysM and putative peptidoglycan-binding domain-containing protein 2,Other,NA
TAP1,Q03518,Antigen peptide transporter 1 (APT1) (ATP-binding cassette sub-family B member 2) (Peptide supply factor 1) (Peptide transporter PSF1) (PSF-1) (Peptide transporter TAP1) (Peptide transporter involved in antigen processing 1) (Really interesting new gene 4 protein),Transporter,nucleotide binding; ATP binding; drug binding; purine nucleotide binding; MHC class Ib protein binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; MHC protein binding; ADP binding; TAP binding; TAP2 binding; carbohydrate derivative binding; nucleoside phosphate binding
PSMB3,P49720,Proteasome subunit beta type-3 (EC 3.4.25.1) (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain),Protease,NA
CAPN3,P20807,Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3) (New calpain 1) (nCL-1),Protease,"endopeptidase activity; cysteine-type endopeptidase activity; calcium-dependent cysteine-type endopeptidase activity; cytoskeletal protein binding; peptidase activity; cysteine-type peptidase activity; enzyme regulator activity; titin binding; ligase regulator activity; peptidase activity, acting on L-amino acid peptides"
ISM1,B1AKI9,Isthmin-1,Extracellular_all_others,NA
STT3A,P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (B5) (Integral membrane protein 1) (Transmembrane protein TMC),Enzyme_Transferase,NA
HHIP,Q96QV1,Hedgehog-interacting protein (HHIP) (HIP),Other,zinc ion binding; metal ion binding; transition metal ion binding; hedgehog family protein binding
OR5W2,Q8NH69,Olfactory receptor 5W2 (Olfactory receptor 5W3) (Olfactory receptor OR11-155),7TM_all_others,NA
MME,P08473,Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10),Protease,"endopeptidase activity; metalloendopeptidase activity; peptidase activity; metallopeptidase activity; exopeptidase activity; zinc ion binding; metal ion binding; transition metal ion binding; peptidase activity, acting on L-amino acid peptides"
APOBEC3B,Q9UH17,Dna dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.-) (Phorbolin-1-related protein) (Phorbolin-2/3),Enzyme_all_others,NA
STK17B,O94768,Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2),Kinase_Protein,nucleotide binding; protein kinase activity; protein serine/threonine kinase activity; ATP binding; drug binding; purine nucleotide binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; carbohydrate derivative binding; nucleoside phosphate binding
CEP120,Q8N960,Centrosomal protein of 120 kDa (Cep120) (Coiled-coil domain-containing protein 100),Other,NA
INF2,Q27J81,Inverted formin-2 (HBEBP2-binding protein C),Other,NA
ARL5B,Q96KC2,ADP-ribosylation factor-like protein 5B (ADP-ribosylation factor-like protein 8),Other,NA
TRMT2A,Q8IZ69,tRna (uracil-5-)-methyltransferase homolog A (EC 2.1.1.-) (HpaII tiny fragments locus 9c protein),Enzyme_Transferase,"""NA"""
DLL3,Q9NYJ7,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3),Receptor_all_others,"""NA"""
C1orf122,Q6ZSJ8,Uncharacterized protein C1orf122 (Protein ALAESM),Other,"""NA"""
APOA1,P02647,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))],Extracellular_all_others,amyloid-beta binding; lipid transporter activity; steroid binding; phospholipid binding; enzyme activator activity; lipid binding; sterol transporter activity; cholesterol binding; cholesterol transporter activity; enzyme regulator activity; receptor regulator activity; heat shock protein binding; sterol binding; amide binding; apolipoprotein receptor binding; apolipoprotein A-I receptor binding; peptide binding; alcohol binding; chemorepellent activity; receptor ligand activity; phosphatidylcholine-sterol O-acyltransferase activator activity; lipoprotein particle receptor binding; high-density lipoprotein particle receptor binding
GUCY1A2,P33402,Guanylate cyclase soluble subunit alpha-2 (GCS-alpha-2) (EC 4.6.1.2),Enzyme_all_others,"""NA"""
FXYD5,Q96DB9,FXYD domain-containing ion transport regulator 5 (Dysadherin),Ion Channel,actin binding; cytoskeletal protein binding; cadherin binding; cell adhesion molecule binding
NOCT,Q9UK39,Nocturnin (EC 3.1.13.4) (Carbon catabolite repression 4-like protein) (Circadian deadenylase NOC),Transcriptional_Factor_all_others,NA
MAP3K5,Q99683,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),Kinase_Protein,nucleotide binding; magnesium ion binding; protein kinase activity; protein serine/threonine kinase activity; MAP kinase kinase kinase activity; ATP binding; drug binding; purine nucleotide binding; phosphatase binding; protein phosphatase binding; protein domain specific binding; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; metal ion binding; carbohydrate derivative binding; nucleoside phosphate binding
CTSE,P14091,Cathepsin E (EC 3.4.23.34) [Cleaved into: Cathepsin E form I; Cathepsin E form II],Protease,"endopeptidase activity; aspartic-type endopeptidase activity; peptidase activity; aspartic-type peptidase activity; peptidase activity, acting on L-amino acid peptides"
INSC,Q1MX18,Protein inscuteable homolog,Other,"protein domain specific binding; protein binding, bridging; molecular adaptor activity"
HOXD11,P31277,Homeobox protein Hox-D11 (Homeobox protein Hox-4F),Transcriptional_Factor_all_others,"""NA"""
PDCD1,Q15116,Programmed cell death protein 1 (Protein PD-1) (hPD-1) (CD antigen CD279),Receptor_all_others,"""NA"""
TCF19,Q9Y242,Transcription factor 19 (TCF-19) (Transcription factor SC1),Transcriptional_Factor_all_others,NA
GLT8D2,Q9H1C3,Glycosyltransferase 8 domain-containing protein 2 (EC 2.4.1.-),Enzyme_Transferase,"""NA"""
SFTPA2,Q8IWL1,Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5),Extracellular_all_others,NA
SMS,P52788,Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase),Enzyme_all_others,"transferase activity, transferring alkyl or aryl (other than methyl) groups; spermine synthase activity"
PEX5,P50542,Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1),Other,peroxisome targeting sequence binding; signal sequence binding; peroxisome matrix targeting signal-1 binding; small GTPase binding; amide binding; peptide binding; protein N-terminus binding; GTPase binding
SLC9B1,Q4ZJI4,"Sodium/hydrogen exchanger 9B1 (na(+)/H(+) exchanger-like domain-containing protein 1) (NHE domain-containing protein 1) (Sodium/hydrogen exchanger-like domain-containing protein 1) (Solute carrier family 9, subfamily B member 1)",Transporter,monovalent cation:proton antiporter activity; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; sodium ion transmembrane transporter activity; secondary active transmembrane transporter activity; antiporter activity; solute:cation antiporter activity; solute:proton antiporter activity; sodium:proton antiporter activity; cation:cation antiporter activity; active transmembrane transporter activity; inorganic cation transmembrane transporter activity; metal ion transmembrane transporter activity; ion antiporter activity
EXOSC5,Q9NQT4,Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal Rna-processing protein 46) (p12B),Enzyme_all_others,NA
AARSD1,Q9BTE6,Alanyl-tRna editing protein Aarsd1 (Alanyl-tRna synthetase domain-containing protein 1),Enzyme_all_others,"""NA"""
KNOP1,Q1ED39,Lysine-rich nucleolar protein 1 (Protein FAM191A) (Testis-specific gene 118 protein),Other,"""NA"""
PELI3,Q8N2H9,E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 3),Enzyme_all_others,protein kinase activity; protein serine/threonine kinase activity
NOXRED1,Q6NXP6,naDP-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-) (Pyrroline-5-carboxylate reductase-like protein C14orf148),Other,NA
GNL2,Q13823,Nucleolar GTP-binding protein 2 (Autoantigen NGP-1),Other,NA
FGF2,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),Extracellular Ligand,"transcription coregulator activity; transcription coactivator activity; protein kinase activity; protein tyrosine kinase activity; guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; fibroblast growth factor receptor binding; cytokine activity; integrin binding; growth factor activity; 1-phosphatidylinositol-3-kinase activity; Ras GTPase binding; nuclear receptor transcription coactivator activity; receptor regulator activity; small GTPase binding; phosphatidylinositol 3-kinase activity; chemoattractant activity; phosphatidylinositol-4,5-bisphosphate 3-kinase activity; receptor ligand activity; cell adhesion molecule binding; GTPase binding; phosphatidylinositol kinase activity; phosphatidylinositol bisphosphate kinase activity; growth factor receptor binding; receptor-receptor interaction"
NRGN,Q92686,Neurogranin (Ng) (RC3) [Cleaved into: NEUG(55-78)],Other,NA
IL1RL2,Q9HB29,Interleukin-1 receptor-like 2 (IL-36 receptor) (IL-36R) (Interleukin-1 receptor-related protein 2) (IL-1Rrp2) (IL1R-rp2),Receptor_all_others,transmembrane signaling receptor activity; cytokine receptor activity; interleukin-1 receptor activity
SLC25A32,Q9H2D1,Mitochondrial folate transporter/carrier (Solute carrier family 25 member 32),Transporter,dicarboxylic acid transmembrane transporter activity; organic acid transmembrane transporter activity; anion transmembrane transporter activity; organic anion transmembrane transporter activity; folic acid transmembrane transporter activity; drug transmembrane transporter activity; amide transmembrane transporter activity; carboxylic acid transmembrane transporter activity; modified amino acid transmembrane transporter activity; vitamin transmembrane transporter activity
UCHL5,Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5),Protease,"thiol-dependent ubiquitin-specific protease activity; peptidase activity; cysteine-type peptidase activity; ubiquitin-like protein-specific protease activity; thiol-dependent ubiquitinyl hydrolase activity; peptidase activity, acting on L-amino acid peptides; proteasome binding; ubiquitinyl hydrolase activity"
CYGB,Q8WWM9,Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein),Other,"nitric oxide dioxygenase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor; dioxygenase activity"
CREM,Q03060,cAMP-responsive element modulator (Inducible cAMP early repressor) (ICER),Transcriptional_Factor_all_others,transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; double-stranded DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding
SLC26A1,Q9H2B4,Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1),Transporter,anion transmembrane transporter activity; inorganic anion transmembrane transporter activity; sulfate transmembrane transporter activity; sulfur compound transmembrane transporter activity
ZNF441,Q8N8Z8,Zinc finger protein 441,Transcriptional_Factor_all_others,"""NA"""
MUC17,Q685J3,Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3),Other,protein domain specific binding; PDZ domain binding
DKK3,Q9UBP4,Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3),Extracellular_all_others,NA
VLDLR,P98155,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),Other,low-density lipoprotein particle receptor activity; lipoprotein particle receptor activity; very-low-density lipoprotein particle receptor activity; apolipoprotein binding; very-low-density lipoprotein particle binding; glycoprotein transporter activity; cargo receptor activity; calcium-dependent protein binding; lipoprotein particle binding; protein-lipid complex binding
FUT2,Q10981,"Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.344) (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (SE2) (Secretor blood group alpha-2-fucosyltransferase) (Secretor factor) (Se)",Enzyme_Transferase,"galactoside 2-alpha-L-fucosyltransferase activity; fucosyltransferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring hexosyl groups; alpha-(1,2)-fucosyltransferase activity"
TCN2,P20062,Transcobalamin-2 (TC-2) (Transcobalamin II) (TC II) (TCII),Extracellular_all_others,drug binding; vitamin binding; cobalamin binding; tetrapyrrole binding; cofactor binding
MEIS1,O00470,Homeobox protein Meis1,Transcriptional_Factor_all_others,NA
LMX1B,O60663,LIM homeobox transcription factor 1-beta (LIM/homeobox protein 1.2) (LMX-1.2) (LIM/homeobox protein LMX1B),Transcriptional_Factor_all_others,NA
GTF2IRD2,Q86UP8,General transcription factor II-I repeat domain-containing protein 2A (GTF2I repeat domain-containing protein 2A) (Transcription factor GTF2IRD2-alpha),Other,NA
SPPL2A,Q8TCT8,Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2),Protease,"endopeptidase activity; aspartic-type endopeptidase activity; peptidase activity; aspartic endopeptidase activity, intramembrane cleaving; aspartic-type peptidase activity; peptidase activity, acting on L-amino acid peptides"
IKZF4,Q9H2S9,Zinc finger protein Eos (Ikaros family zinc finger protein 4),Transcriptional_Factor_all_others,protein domain specific binding
TMC8,Q8IU68,Transmembrane channel-like protein 8 (Epidermodysplasia verruciformis protein 2),Other,NA
CENPL,Q8N0S6,Centromere protein L (CENP-L) (Interphase centromere complex protein 33),Other,"""NA"""
CFAP54,Q96N23,Cilia- and flagella-associated protein 54,Other,NA
DDX59,Q5T1V6,Probable ATP-dependent Rna helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5),Enzyme_all_others,"""NA"""
TMEM170B,Q5T4T1,Transmembrane protein 170B,Other,NA
C9orf163,Q8N9P6,Uncharacterized protein C9orf163,Other,NA
MKRN2OS,H3BPM6,MKRN2 opposite strand protein (MKRN2 antisense Rna 1) (MKRN2 antisense gene protein 1),Other,NA
NHLRC1,Q6VVB1,E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1),Enzyme_all_others,ubiquitin-protein transferase activity; ubiquitin-like protein transferase activity
UTP15,Q8TED0,U3 small nucleolar Rna-associated protein 15 homolog,Other,NA
OR10J5,Q8NHC4,Olfactory receptor 10J5 (Olfactory receptor OR1-28),7TM_all_others,"""NA"""
USP33,Q8TEY7,Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33) (VHL-interacting deubiquitinating enzyme 1) (hVDU1),Protease,"G protein-coupled receptor binding; thiol-dependent ubiquitin-specific protease activity; peptidase activity; cysteine-type peptidase activity; zinc ion binding; Ras GTPase binding; Ral GTPase binding; ubiquitin-like protein-specific protease activity; small GTPase binding; thiol-dependent ubiquitinyl hydrolase activity; metal ion binding; transition metal ion binding; GTPase binding; peptidase activity, acting on L-amino acid peptides; ubiquitinyl hydrolase activity"
C9,P02748,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b],Extracellular_all_others,NA
FOXP4,Q8IVH2,Forkhead box protein P4 (Fork head-related protein-like A),Transcriptional_Factor_all_others,"""NA"""
CCNY,Q8ND76,Cyclin-Y (Cyc-Y) (Cyclin box protein 1) (Cyclin fold protein 1) (cyclin-X),Other,cyclin-dependent protein serine/threonine kinase regulator activity; kinase regulator activity; protein kinase regulator activity; enzyme regulator activity
PLEK2,Q9NYT0,Pleckstrin-2,Other,NA
PATE3,B3GLJ2,Prostate and testis expressed protein 3 (Acrosomal vesicle protein HEL-127) (PATE-like protein DJ) (PATE-DJ),Extracellular_all_others,NA
ORM2,P19652,Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2),Extracellular_all_others,NA
TREM2,Q9NZC2,Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2),Receptor_all_others,phospholipid binding; lipid binding; scaffold protein binding
HLA-DPA1,P20036,"HLA class II histocompatibility antigen, DP alpha 1 chain (DP(W3)) (DP(W4)) (HLA-SB alpha chain) (MHC class II DP3-alpha) (MHC class II DPA1)",Receptor_all_others,antigen binding; amide binding; peptide binding; peptide antigen binding
CATSPER1,Q8NEC5,Cation channel sperm-associated protein 1 (CatSper1) (hCatSper),Ion Channel,NA
INHBB,P09529,Inhibin beta B chain (Activin beta-B chain),Extracellular Ligand,cytokine activity; hormone activity; receptor regulator activity; host cell surface receptor binding; host cell surface binding; receptor ligand activity
FBLL1,A6NHQ2,rRna/tRna 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase),Enzyme_Transferase,NA
PC,P11498,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",Enzyme_all_others,"pyruvate carboxylase activity; ligase activity; ligase activity, forming carbon-carbon bonds"
TARBP1,Q13395,Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR Rna-binding protein 1) (TAR Rna-binding protein of 185 kDa) (TRP-185),Enzyme_Transferase,NA
ENTPD5,O75356,Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5),Enzyme_all_others,"pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-diphosphatase activity"
PDGFA,P04085,Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide),Extracellular Ligand,"guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; platelet-derived growth factor receptor binding; collagen binding; growth factor activity; Ras GTPase binding; growth factor binding; receptor regulator activity; small GTPase binding; phosphatidylinositol 3-kinase activity; phosphatidylinositol-4,5-bisphosphate 3-kinase activity; protein heterodimerization activity; receptor ligand activity; platelet-derived growth factor binding; GTPase binding; phosphatidylinositol bisphosphate kinase activity; growth factor receptor binding"
CCDC66,A2RUB6,Coiled-coil domain-containing protein 66,Other,microtubule binding; cytoskeletal protein binding; tubulin binding
CPSF4L,A6NMK7,Putative cleavage and polyadenylation specificity factor subunit 4-like protein,Transcriptional_Factor_all_others,"""NA"""
ABHD14B,Q96IU4,Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B),Enzyme_all_others,NA
LRRC37A2,A6NM11,Leucine-rich repeat-containing protein 37A2,Other,NA
FGG,P02679,Fibrinogen gamma chain,Extracellular_all_others,structural molecule activity; cell adhesion molecule binding
HLA-DRA,P01903,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",Receptor_all_others,antigen binding; amide binding; peptide binding; peptide antigen binding
FYCO1,Q9BQS8,FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7),Transcriptional_Factor_all_others,NA
ARL4C,P56559,ADP-ribosylation factor-like protein 4C (ADP-ribosylation factor-like protein 7) (ADP-ribosylation factor-like protein LAK),Enzyme_all_others,"GTPase activity; cytoskeletal protein binding; tubulin binding; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-triphosphatase activity; alpha-tubulin binding"
RASSF5,Q8WWW0,Ras association domain-containing protein 5 (New ras effector 1) (Regulator for cell adhesion and polarization enriched in lymphoid tissues) (RAPL),Other,"""NA"""
R3HDM2,Q9Y2K5,R3H domain-containing protein 2,Other,"""NA"""
SF3A3,Q12874,Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61),Transcriptional_Factor_all_others,NA
PRSS53,Q2L4Q9,Serine protease 53 (EC 3.4.21.-) (Polyserine protease 3) (Polyserase-3),Protease,NA
RABEP1,Q15276,Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17),Other,protein domain specific binding
CFD,P00746,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Protease,"endopeptidase activity; serine-type endopeptidase activity; peptidase activity; serine-type peptidase activity; serine hydrolase activity; peptidase activity, acting on L-amino acid peptides"
PPT2-EGFL8,Q9UMR5,Lysosomal thioesterase PPT2 (PPT-2) (EC 3.1.2.-) (S-thioesterase G14),"""NA""","""NA"""
SVEP1,Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)",Other,NA
DAPP1,Q9UN19,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (hDAPP1) (B lymphocyte adapter protein Bam32) (B-cell adapter molecule of 32 kDa),Other,"phospholipid binding; phosphatidylinositol-3,4,5-trisphosphate binding; lipid binding; phosphatidylinositol binding; phosphatidylinositol-3,4-bisphosphate binding; phosphatidylinositol phosphate binding; phosphatidylinositol bisphosphate binding"
ADA,P00813,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Enzyme_all_others,"adenosine deaminase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines; deaminase activity"
PREP,P48147,Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme),Protease,"peptidase activity; serine-type peptidase activity; serine hydrolase activity; peptidase activity, acting on L-amino acid peptides"
CPE,P16870,Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase),Protease,"carboxypeptidase activity; peptidase activity; exopeptidase activity; neurexin family protein binding; cell adhesion molecule binding; peptidase activity, acting on L-amino acid peptides"
